match_id,stage,group,date,home_team,away_team,home_goals,away_goals,pens_home,pens_away,decided_by,status,source
1,group,A,2026-06-11,Mexico,South Africa,2,0,,,regular,final,reported_2026-06-28
2,group,A,2026-06-11,Korea Republic,Czechia,2,1,,,regular,final,reported_2026-06-28
3,group,A,2026-06-18,Czechia,South Africa,1,1,,,regular,final,reported_2026-06-28
4,group,A,2026-06-18,Mexico,Korea Republic,1,0,,,regular,final,reported_2026-06-28
5,group,A,2026-06-24,Czechia,Mexico,0,3,,,regular,final,reported_2026-06-28
6,group,A,2026-06-24,South Africa,Korea Republic,1,0,,,regular,final,reported_2026-06-28
7,group,B,2026-06-12,Canada,Bosnia and Herzegovina,1,1,,,regular,final,reported_2026-06-28
8,group,B,2026-06-13,Qatar,Switzerland,1,1,,,regular,final,reported_2026-06-28
9,group,B,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,,,regular,final,reported_2026-06-28
10,group,B,2026-06-18,Canada,Qatar,6,0,,,regular,final,reported_2026-06-28
11,group,B,2026-06-24,Switzerland,Canada,2,1,,,regular,final,reported_2026-06-28
12,group,B,2026-06-24,Bosnia and Herzegovina,Qatar,3,1,,,regular,final,reported_2026-06-28
13,group,C,2026-06-13,Brazil,Morocco,1,1,,,regular,final,reported_2026-06-28
14,group,C,2026-06-13,Haiti,Scotland,0,1,,,regular,final,reported_2026-06-28
15,group,C,2026-06-19,Scotland,Morocco,0,1,,,regular,final,reported_2026-06-28
16,group,C,2026-06-19,Brazil,Haiti,3,0,,,regular,final,reported_2026-06-28
17,group,C,2026-06-24,Scotland,Brazil,0,3,,,regular,final,reported_2026-06-28
18,group,C,2026-06-24,Morocco,Haiti,4,2,,,regular,final,reported_2026-06-28
19,group,D,2026-06-12,USA,Paraguay,4,1,,,regular,final,reported_2026-06-28
20,group,D,2026-06-13,Australia,Turkiye,2,0,,,regular,final,reported_2026-06-28
21,group,D,2026-06-19,USA,Australia,2,0,,,regular,final,reported_2026-06-28
22,group,D,2026-06-19,Turkiye,Paraguay,0,1,,,regular,final,reported_2026-06-28
23,group,D,2026-06-25,Turkiye,USA,3,2,,,regular,final,reported_2026-06-28
24,group,D,2026-06-25,Paraguay,Australia,0,0,,,regular,final,reported_2026-06-28
25,group,E,2026-06-14,Germany,Curacao,7,1,,,regular,final,reported_2026-06-28
26,group,E,2026-06-14,Cote d'Ivoire,Ecuador,1,0,,,regular,final,reported_2026-06-28
27,group,E,2026-06-20,Germany,Cote d'Ivoire,2,1,,,regular,final,reported_2026-06-28
28,group,E,2026-06-20,Ecuador,Curacao,0,0,,,regular,final,reported_2026-06-28
29,group,E,2026-06-25,Curacao,Cote d'Ivoire,0,2,,,regular,final,reported_2026-06-28
30,group,E,2026-06-25,Ecuador,Germany,2,1,,,regular,final,reported_2026-06-28
31,group,F,2026-06-14,Netherlands,Japan,2,2,,,regular,final,reported_2026-06-28
32,group,F,2026-06-14,Sweden,Tunisia,5,1,,,regular,final,reported_2026-06-28
33,group,F,2026-06-20,Netherlands,Sweden,5,1,,,regular,final,reported_2026-06-28
